symbol,entry_date,exit_date,exit_reason,pnl,return
AMD,2000-05-18,2000-05-23,position_stop,-1505.2528712433993,-0.1271907514450867
MU,2000-05-18,2000-05-23,position_stop,-1142.7569898446534,-0.09847146387661314
TXN,2000-05-18,2000-05-23,position_stop,-1600.2343196035486,-0.11764451673243581
AMAT,2000-05-18,2000-05-23,position_stop,-1670.1702887654571,-0.15444418447711342
ADBE,2000-05-18,2000-05-25,position_stop,-686.2727286955268,-0.09133918553745766
AMAT,2000-05-23,2000-05-26,trailing_stop,429.5167765848492,0.033874542982345775
AMD,2000-05-23,2000-05-31,trailing_stop,1276.8052954351049,0.08275496688741722
MU,2000-05-23,2000-05-31,hold_expired,2974.4482401695327,0.1980550382154202
ORCL,2000-05-23,2000-05-31,trailing_stop,2126.1541589565254,0.14766452585325507
ADBE,2000-05-25,2000-05-31,trailing_stop,1200.6385844033725,0.0771144663027691
TXN,2000-05-26,2000-06-05,hold_expired,3701.109828106513,0.2537071158489124
ADBE,2000-05-31,2000-06-06,trailing_stop,236.05711341164377,0.027726570308762504
MU,2000-05-31,2000-06-06,trailing_stop,1082.7298599900487,0.10186208750989344
AMD,2000-05-31,2000-06-07,trailing_stop,525.9985487939249,0.06419571865443424
PFE,2000-05-31,2000-06-07,hold_expired,-525.557766501763,-0.022534527104963738
SLB,2000-06-05,2000-06-12,hold_expired,1321.827447291101,0.057418121496206
MU,2000-06-06,2000-06-13,hold_expired,1222.2233810633716,0.0705462139741691
ADBE,2000-06-06,2000-06-13,hold_expired,1424.0951193303267,0.09937094247922883
AMD,2000-06-07,2000-06-14,hold_expired,-562.2068679784416,-0.03737931034482759
ORCL,2000-06-07,2000-06-14,hold_expired,-199.64337834947952,-0.012531414104040395
TXN,2000-06-12,2000-06-15,trailing_stop,335.0734940261386,0.017357223722430492
MU,2000-06-13,2000-06-20,hold_expired,2149.1130401241503,0.08938170538897318
ADBE,2000-06-13,2000-06-20,hold_expired,500.6412571707627,0.03190968713602665
AMD,2000-06-14,2000-06-21,hold_expired,2200.4708171997795,0.1343044776119403
ORCL,2000-06-14,2000-06-21,hold_expired,1359.3650250867943,0.09094876877094875
BAC,2000-06-15,2000-06-21,position_stop,-1398.3646655526559,-0.08310595619650811
ADBE,2000-06-20,2000-06-23,position_stop,-1735.16427944312,-0.10288809420186198
AMD,2000-06-21,2000-06-26,position_stop,-900.2810376232619,-0.0816
MU,2000-06-20,2000-06-27,hold_expired,35.15402634064224,0.0013795198490455986
ADBE,2000-06-23,2000-06-27,trailing_stop,45.82952542780938,0.002619710389317747
BAC,2000-06-21,2000-06-28,hold_expired,-784.9362867908394,-0.04633980235057366
PFE,2000-06-21,2000-06-28,hold_expired,-159.94659895364995,-0.008391857850421668
AMD,2000-06-26,2000-06-29,position_stop,-1835.0272615288031,-0.1260974212034384
MU,2000-06-27,2000-07-05,hold_expired,-1802.87852553888,-0.06945592764558933
ORCL,2000-06-27,2000-07-05,position_stop,-1882.1523407717484,-0.12085083882964448
AMD,2000-06-29,2000-07-05,trailing_stop,-177.42753606668157,-0.01314098360655738
MS,2000-06-28,2000-07-06,hold_expired,1737.6963881340023,0.0743603611516165
SCHW,2000-06-28,2000-07-06,hold_expired,134.21915605030532,0.009572777555893844
MU,2000-07-05,2000-07-12,hold_expired,2054.8502312708133,0.12237582700410635
AMD,2000-07-05,2000-07-12,hold_expired,1593.0884179452098,0.12040531561461794
PFE,2000-07-05,2000-07-12,hold_expired,184.57478309562288,0.011140790477535084
AIG,2000-07-06,2000-07-13,hold_expired,120.51366489609138,0.00469881260271837
JNJ,2000-07-06,2000-07-13,hold_expired,-685.6021113274431,-0.04455259805112404
AMD,2000-07-12,2000-07-19,hold_expired,965.7403486468642,0.07039881393624908
MU,2000-07-12,2000-07-19,hold_expired,-1124.535572294867,-0.061180986403006524
PFE,2000-07-12,2000-07-19,hold_expired,-530.0102380011996,-0.03197953442197383
ADBE,2000-07-13,2000-07-20,hold_expired,-98.24193914667705,-0.004562474779581058
JNJ,2000-07-13,2000-07-20,hold_expired,-621.5736585428759,-0.03547415193974284
AMD,2000-07-19,2000-07-21,position_stop,-1324.571616179966,-0.11221052631578947
ADBE,2000-07-20,2000-07-24,position_stop,-1997.2540708318736,-0.08791645465806366
MU,2000-07-19,2000-07-26,hold_expired,-1055.5110799343022,-0.06516771699562325
AIG,2000-07-19,2000-07-26,hold_expired,873.4809589423062,0.047168670007759775
JNJ,2000-07-20,2000-07-27,hold_expired,-3.6956795663754374,-0.00021287429838143192
AMD,2000-07-21,2000-07-27,position_stop,-1846.7208668657254,-0.12639001560062402
ADBE,2000-07-24,2000-07-27,position_stop,-1593.0307003936339,-0.09339212728816866
MU,2000-07-26,2000-08-02,hold_expired,-631.6625088633118,-0.026527220299589493
PFE,2000-07-26,2000-08-02,hold_expired,875.8206587302303,0.06028161700026282
AMD,2000-07-27,2000-08-02,position_stop,-1637.7942655803188,-0.10717142857142858
ADBE,2000-07-27,2000-08-03,hold_expired,45.164986339941564,0.0021671171892049174
AMGN,2000-07-27,2000-08-03,hold_expired,307.7792799969354,0.02461381400805018
MU,2000-08-02,2000-08-04,position_stop,-1258.5388676957682,-0.08950715678068373
AMD,2000-08-02,2000-08-09,hold_expired,-149.43503441322983,-0.012032
BA,2000-08-02,2000-08-09,hold_expired,-934.3376022062503,-0.03986917756288889
KO,2000-08-03,2000-08-10,hold_expired,-697.2507278815939,-0.03181143588067784
PFE,2000-08-03,2000-08-10,hold_expired,-808.9384249934967,-0.0615144872327068
JNJ,2000-08-04,2000-08-11,hold_expired,172.1370742511856,0.013227931526249835
BIIB,2000-08-09,2000-08-16,hold_expired,-750.1526605074934,-0.06854071248372397
BA,2000-08-09,2000-08-16,hold_expired,-568.1325573230423,-0.0327544612402963
MU,2000-08-10,2000-08-17,hold_expired,3242.2533805840135,0.19831952383628362
KO,2000-08-10,2000-08-17,hold_expired,-373.3045779595358,-0.02158398901909034
C,2000-08-11,2000-08-18,hold_expired,506.43572032119107,0.03235179628284613
